gtin14,reason,source_sha256,product_name
00079621004360,piece_rate,68463f29ece65a9dea29df7251782a6037df864a3a16020f1bfa09bbee589bfc,"Wright Brand Naturally Hickory Smoked Thin Sliced Bacon, Flat-Pack, 18-22 Slices per Pound, Gas Flushed"
00079621004377,piece_rate,79daf318e9e08b46d9c2f692f25f906e99f699a969f71944ec1c5fd409cb8d1c,"Wright Brand Naturally Applewood Smoked Regular Sliced Bacon, Flat-Pack, 14-18 Slices per Pound, Gas Flushed"
00079621004384,piece_rate,f55e9ce8720d538ca9a25b03f3ec5cbd3926548fc88f0ce8a056b4b50dbeb6c0,"Wright Brand Naturally Applewood Smoked Thin Sliced Bacon, Flat-Pack, 18-22 Slices per pound, Gas Flushed"
00079621004414,piece_rate,531ac146e9c9c2caff0e5c5ca447caa2107de4110846e8ca732f23e445448a3b,"Wright Brand Naturally Hickory Smoked Extra Extra Thick Sliced Steak Cut Bacon, Bulk, 2 Slices/Inch, Gas Flushed"
00079621004513,piece_rate,b6d1dc8678ed71353f5196fbda2fe3fc9e0f197f1f45ec7c6afe90da300699d0,"Wright Brand Naturally Hickory Smoked Peppered Regular Sliced Bacon, Bulk, 6 Slices per Inch"
00079621009013,piece_rate,7647a5d5197b25bc2a608551285eca8525f6327ce14a619f44df5a97f5003595,"Wright Brand Naturally Hickory Smoked Regular Sliced Bacon, Bulk, 14-18 Slices per Pound, Gas Flushed"
00079621009419,piece_rate,a5ac12a517c313b382231e88829a4a3c340cb418528342b0dd5d6d36bfdfa235,"Wright Brand Naturally Hickory Smoked Thin Sliced Bacon, Bulk, 18-22 Slices per Pound, Gas Flushed"
00079621009518,piece_rate,59249071a823aebf0d009a7a6d68b86b3743fce2e2d16f9ee34ae7cd956a7f03,"Wright Brand Naturally Hickory Smoked Regular Sliced Bacon, Bulk, 14-18 Slices per Pound, Gas Flushed"
00079621013485,piece_rate,1066cdf9390b6c6ad6594baf1f95a3cffe3ec9ddc773ed904a08512492297e16,"Wright Brand Naturally Hickory Smoked Extra Thin Sliced Bacon, Flat-Pack, 22-26 Slices per Pound"
00079621016011,piece_rate,a6d02cdba1df875d8f0e0de06c1b5caf9a5daac0a34808e3a228b5bbc8f29c38,"Wright Brand Naturally Applewood Smoked Thick Sliced Bacon, Bulk, 10-14 Slices per Pound, Gas Flushed"
10037600087763,piece_rate,944127694b68980c47db20eae92d1e14aa8055702706d8a28fda28f5d353eb7c,Hormel Layout Lower Sodium Bacon 18-22 Slices Per Pound
00040913011137,reviewed_grade,da5fa562818185d3f47b4d3796ecef33311a98d7607ed75e7cd24fd3309019f4,"Whole Dill Pickles, 96-104 Count per 5-Gallon Pail"
00040913013223,reviewed_grade,5a39412898e246fe81855ad21e5e5fb038a56909c889d9855420bedec2f56680,"Hot Dill Pickles, 7-9 Count per Gallon"
00040913013230,reviewed_grade,0cbc1ba610aa392582b8959ec0a96bca09b337e1db082bb478c9041270608042,"Whole Hot Dill Pickles, 14-16 Count per Gallon"
00040913013322,reviewed_grade,22e0c5453221cd2e95f12f573a1eee58462df4c06ac81a38d830b7c8db47d37a,"Kosher Style Pickles, 7-9 Count per Gallon"
00040913013346,reviewed_grade,cb1b0f55bf943d543bcdc4ecf2a8c9281142f4555ea9d87d9862b0bad10a1cfe,"Kosher Style Pickles, 18-22 Count per Gallon"
00040913013438,reviewed_grade,e47abd7f04468bdfd9a899df4ac6f973c4fb5e0b6364b0ea9c9789d62a9f4e11,"Whole Sour Pickles, 14-16 Count per Gallon"
00042222267618,reviewed_grade,3a028ede24c5962b25997671e3b6292ad97b81c93be8485e3e257ce28aee486b,"JENNIE-O Turkey Burgers, 1/3-Lb"
00070796500039,reviewed_grade,6ab1155a7ba4358bf0c4a18186cc9b86e78104f4e295e134b7ed38e38a76e954,8-10 Count Artichoke Hearts
00070796500077,reviewed_grade,422b175e4918604e3c60171b2c0e1e15e50ebd569be2dcfa863c9572fb9b3bd7,5-7 Count Artichoke Hearts
00079041826030,reviewed_grade,01e7e3f68a0b6462de42f4bf3c6bf7ec314ddbedc5bdde764e02ec1f4bd2f4ed,80% Lean 20% Fat 1/3-Lb Angus Burgers
